编号,1.年级,2.学科大类,3.学习中使用AI频率,4.用AI做什么:查资料 / 解释概念,4.用AI做什么:总结要点 / 列提纲,4.用AI做什么:润色改写表达,4.用AI做什么:生成作业 / 论文核心内容,4.用AI做什么:代码 / 公式推导辅助,4.用AI做什么:翻译/外语学习,4.用AI做什么:其他,5.作业场景下AI用法接受度:查资料 / 解释概念,5.作业场景下AI用法接受度:总结要点 / 列提纲,5.作业场景下AI用法接受度:润色改写表达,5.作业场景下AI用法接受度:生成作业 / 论文核心内容,5.作业场景下AI用法接受度:代码 / 公式推导辅助,5.作业场景下AI用法接受度:翻译 / 外语学习,6.论文场景:查资料 / 解释概念,6.论文场景:总结要点 / 列提纲,6.论文场景:润色改写表达,6.论文场景:生成作业 / 论文核心内容,6.论文场景:代码 / 公式推导辅助,6.论文场景:翻译 / 外语学习,7.考试场景下AI用法接受度:查资料 / 解释概念,7.考试场景下AI用法接受度:总结要点 / 列提纲,7.考试场景下AI用法接受度:润色改写表达,7.考试场景下AI用法接受度:生成作业 / 论文核心内容,7.考试场景下AI用法接受度:代码 / 公式推导辅助,7.考试场景下AI用法接受度:翻译 / 外语学习,8.你主要使用的AI工具类型属于哪种,9.你认为工具强弱差异对作业/论文质量或者成绩的影响,10.你是否遇到过“作业/论文要求超过课堂训练实例”的情况,11.你是否遇到过DDL迫在眉睫，时间不够，只能用AI救火
79,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,,C.润色改写表达,,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,B.允许但需要说明是AI生成,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,A.允许,C.不允许,A.允许,C.不允许,C.不允许,A.允许,C.不允许,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,B.允许但需要说明是AI生成,A.免费/基础款,B.有一些影响,B.偶尔,B.偶尔
78,A.大一,E.其他,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,G.其他用途（已脱敏）,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,D.多种类型混用,A.影响很大,A.经常,A.经常
77,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,,,,E.代码 / 公式推导辅助,,G.其他用途（已脱敏）,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,A.影响很大,A.经常,B.偶尔
76,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,B.允许但需要说明是AI生成,C.不允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,C.不允许,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,D.不确定,D.从不,D.从不
75,A.大一,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,A.影响很大,A.经常,A.经常
74,C.大三,B.理工科类,D.几乎不用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,A.影响很大,A.经常,A.经常
73,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,C.很少,A.经常
72,A.大一,C.医药卫生类,B.每周3~5次,A.查资料 / 解释概念,B.总结要点 / 列提纲,,,,F.翻译/外语学习,,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,B.有一些影响,D.从不,B.偶尔
71,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,,D.生成作业 / 论文核心内容,,,,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,C.很少,C.很少
70,D.大四,C.医药卫生类,B.每周3~5次,A.查资料 / 解释概念,,,,,,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.付费/进阶版,B.有一些影响,C.很少,B.偶尔
69,E.研究生及以上,A.人文社科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,B.付费/进阶版,B.有一些影响,B.偶尔,B.偶尔
68,A.大一,B.理工科类,B.每周3~5次,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.免费/基础款,A.影响很大,B.偶尔,B.偶尔
67,E.研究生及以上,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,G.其他用途（已脱敏）,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.付费/进阶版,A.影响很大,B.偶尔,D.从不
66,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.付费/进阶版,B.有一些影响,B.偶尔,C.很少
65,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,D.多种类型混用,A.影响很大,A.经常,B.偶尔
64,A.大一,B.理工科类,C.每周1~2次,,,C.润色改写表达,,,,G.其他用途（已脱敏）,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,C.很少,C.很少
63,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,C.不允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,D.多种类型混用,B.有一些影响,C.很少,B.偶尔
62,A.大一,A.人文社科类,B.每周3~5次,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,B.有一些影响,D.从不,C.很少
61,A.大一,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,B.允许但需要说明是AI生成,C.不允许,C.不允许,B.允许但需要说明是AI生成,D.多种类型混用,A.影响很大,B.偶尔,B.偶尔
60,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,C.不允许,A.允许,A.允许,A.允许,A.允许,A.允许,C.不允许,A.允许,A.允许,A.允许,A.允许,A.允许,C.不允许,A.允许,A.允许,B.付费/进阶版,B.有一些影响,A.经常,C.很少
59,A.大一,A.人文社科类,B.每周3~5次,,B.总结要点 / 列提纲,C.润色改写表达,,,F.翻译/外语学习,,A.允许,A.允许,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,B.偶尔,B.偶尔
58,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,,,E.代码 / 公式推导辅助,,,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,D.多种类型混用,A.影响很大,A.经常,B.偶尔
57,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,B.偶尔,B.偶尔
56,A.大一,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,C.不允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,C.不允许,A.允许,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,B.偶尔,A.经常
55,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,C.不允许,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,A.影响很大,A.经常,A.经常
54,A.大一,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,,F.翻译/外语学习,,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,A.允许,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,A.经常,B.偶尔
53,A.大一,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,,,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.免费/基础款,A.影响很大,B.偶尔,B.偶尔
52,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,,,E.代码 / 公式推导辅助,,,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,B.有一些影响,A.经常,B.偶尔
51,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,G.其他用途（已脱敏）,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,D.多种类型混用,B.有一些影响,A.经常,A.经常
50,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,G.其他用途（已脱敏）,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.免费/基础款,A.影响很大,A.经常,A.经常
49,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,B.有一些影响,A.经常,B.偶尔
48,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,C.不允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,A.影响很大,B.偶尔,B.偶尔
47,A.大一,B.理工科类,A.每天都用,A.查资料 / 解释概念,,,,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,D.多种类型混用,B.有一些影响,B.偶尔,C.很少
46,A.大一,B.理工科类,B.每周3~5次,A.查资料 / 解释概念,,,,E.代码 / 公式推导辅助,,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,C.不允许,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,B.偶尔,B.偶尔
45,B.大二,B.理工科类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,B.允许但需要说明是AI生成,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,A.影响很大,B.偶尔,A.经常
44,B.大二,A.人文社科类,B.每周3~5次,,B.总结要点 / 列提纲,C.润色改写表达,,,F.翻译/外语学习,,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,C.不允许,A.免费/基础款,B.有一些影响,A.经常,A.经常
43,B.大二,C.医药卫生类,A.每天都用,A.查资料 / 解释概念,B.总结要点 / 列提纲,C.润色改写表达,D.生成作业 / 论文核心内容,E.代码 / 公式推导辅助,F.翻译/外语学习,,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.允许,A.允许,A.允许,B.允许但需要说明是AI生成,A.允许,A.允许,A.免费/基础款,B.有一些影响,B.偶尔,B.偶尔
